sensor_CCID,latitude,longitude,altitude,time_zone,I_sc,V_oc,I_mpp,V_mpp,nominal_efficiency,PV_module_area,gamma,beta,alpha,surface_tilt,surface_azimuth,system_age,expected_degradation,,,,,,,,,,,,,,,,,,
89410117331724221886,46.26,6.99,405,1,9.65,46.81,9.06,38.06,0.16,1.6,-0.38,-0.29,0.05,5,147,5,5.75,,,,,,,,,,,,,,,,,,
8991101906273309185f,13.05,77.59,920,5.5,8.52,45.63,8,37.1,0.15,1.919,-0.409,-0.31,0.05,24,180,6,5.75,,,,,,,,,,,,,,,,,,
89911190185403387005,30.29118,76.792239,264,5.5,,,,,0.1675,1.94833,-0.426,,0.05,28,180,,,,,,,,,,,,,,,,,,,,
89911190185403387054,28.5539974,77.202318,224,5.5,,,,,0.1675,1.94833,-0.426,,0.05,22,180,,,,,,,,,,,,,,,,,,,,
89911190185412678899,30.245936,76.8758838,64,5.5,,,,,0.1627,1.937405,-0.408,,0.05,10,180,,,,,,,,,,,,,,,,,,,,
8991521200006851571f,13.05,77.59,920,5.5,8.52,45.63,8,37.1,0.15,1.919,-0.409,-0.31,0.05,24,180,6,5.75,,,,,,,,,,,,,,,,,,
89410117331724221886,46.27,6.95,405,1,,,,,0.16,1.6,-0.38,,0.05,5,147,,,,,,,,,,,,,,,,,,,,
89911190185421780504,28.65308,77.140616,216,5.5,9.65,46.81,9.06,38.06,0.1778,1.940352,-0.39,,0.05,25,170,,,,,,,,,,,,,,,,,,,,
89911190185420639818,28.664692,77.319931,216,5.5,9.00,46.62,8.45,37.9,0.164,1.95,-0.4,-0.29,0.05,5,190,,,,,,,,,,,,,,,,,,,,
89410117331724221886,46.265028,6.988222,405,1,,,,,0.16,1.6,-0.38,,0.05,5,147,,,,,,,,,,,,,,,,,,,,
89410117331724221886,46.4646,6.351857,395,1,,,,,0.16,1.6,-0.38,,0.05,5,147,,,,,,,,,,,,,,,,,,,,
89911190185369831053,28.3209809,77.3041124,193,5.5,9.98,40.84,9.37,33.2,0.189,1.6368,-0.39,-0.29,0.05,7,270,3.83,1.915,,,,,,,,,,,,,,,,,,
89911190185391189470,28.3209809,77.3041124,193,5.5,9.98,40.84,9.37,33.2,0.189,1.6368,-0.39,-0.29,0.05,7,90,3.83,1.915,,,,,,,,,,,,,,,,,,
89410119312727194328,46.0268611,8.9613879,299,1,8.46,37.95,7.94,30.85,0.148,1.682,-0.42,-0.34,0.05,45,177,,,,,,,,,,,,,,,,,,,,
89410119305726731819,46.0268611,8.9613879,299,1,8.46,37.95,7.94,30.85,0.148,1.682,-0.42,-0.34,0.05,45,177,,,,,,,,,,,,,,,,,,,,
89911190185429473748,28.6983037,77.3050015,208,5.5,9.06,46.31,8.5,37.65,0.1667,1.960,-0.409,-0.31,0.05,20,175,3.5833,4.230811,,,,,,,,,,,,,,,,,,
89911190185429214597,28.6983037,77.3050015,208,5.5,9.06,46.31,8.5,37.65,0.1667,1.960,-0.409,-0.31,0.05,20,175,3.5833,4.230811,,,,,,,,,,,,,,,,,,
89911190185431961029,28.6983037,77.3050015,208,5.5,9.06,46.31,8.5,37.65,0.1667,1.960,-0.409,-0.31,0.05,20,175,3.5833,4.230811,,,,,,,,,,,,,,,,,,
89911190185421780488,28.65519,77.20655,216,5.5,10.26,47.23,9.63,38.4,0.1907,1.9403,-0.39,-0.28,0.05,20,210,0.67,1.67,,,,,,,,,,,,,,,,,,
89911190185421780488,28.65519,77.20655,216,5.5,10.26,47.23,9.63,38.4,0.1907,1.9403,-0.39,-0.28,0.05,20,210,0.67,1.67,,,,,,,,,,,,,,,,,,
89911190185421780488,28.65519,77.20655,216,5.5,10.26,47.23,9.63,38.4,0.1907,1.9403,-0.39,-0.28,0.05,20,210,1.5,2.825,,,,,,,,,,,,,,,,,,
89410119312727109987,46.760861,7.634167,595,2,8.42,48.59,7.9,39.5,0.1622,1.923,-0.47,-0.36,0.05,7,320,7.4,2.5,,,,,,,,,,,,,,,,,,
89911190185431961011,27.339808,72.142414,236,5.5,9.41,46.06,8.83,37.45,0.1675,1.941,-0.42,-0.33,0.05,25,180,1.5,2.835,,,,,,,,,,,,,,,,,,
89911190185420639818,28.52043,77.4650267,198,5.5,9.33,45.76,8.76,37.2,0.168,1.94,-0.41,-0.32,0.05,7,169,3.25,3.9625,,,,,,,,,,,,,,,,,,
89911190185403387054,28.52043,77.4650267,198,5.5,10.24,40.96,9.61,33.3,0.193,1.6616,-0.36,-0.29,0.05,25,169,4.75,4.9375,,,,,,,,,,,,,,,,,,
89910273105000145665,13.0323581,80.2161263,14,5.5,22.67,50.31,21.28,40.9,0.2,2.17,-0.35,-0.27,0.05,5,93,0.417,1.0425,,,,,,,,,,,,,,,,,,
89911190185426258142,28.5153339,77.2128202,232,5.5,10.26,47.23,9.63,38.4,0.1907,1.9403,-0.39,-0.28,0.05,15,165,1.125,2.58375,,,,,,,,,,,,,,,,,,
89911190185434450582,28.5153339,77.2128202,232,5.5,10.26,47.23,9.63,38.4,0.1907,1.9403,-0.39,-0.28,0.05,15,165,1.125,2.58375,,,,,,,,,,,,,,,,,,
89911190185424019348,28.5153339,77.2128202,232,5.5,10.26,47.23,9.63,38.4,0.1907,1.9403,-0.39,-0.28,0.05,15,165,1.125,2.58375,,,,,,,,,,,,,,,,,,
8991000904852273619f,13.3689695,78.3642192,850,5.5,9.26,45.26,8.69,36.8,0.1641,1.95,-0.4,-0.34,0.05,-5,180,4.5,4.845,,,,,,,,,,,,,,,,,,
8991000904852270755f,13.3689695,78.3642192,850,5.5,9.26,45.26,8.69,36.8,0.1641,1.95,-0.4,-0.34,0.05,-5,180,4.5,4.845,,,,,,,,,,,,,,,,,,
8991000905149874200f,13.3689695,78.3642192,850,5.5,9.26,45.26,8.69,36.8,0.1641,1.95,-0.4,-0.34,0.05,-5,180,4.5,4.845,,,,,,,,,,,,,,,,,,
8991000905149874226f,13.3689695,78.3642192,850,5.5,9.26,45.26,8.69,36.8,0.1641,1.95,-0.4,-0.34,0.05,-5,180,4.5,4.845,,,,,,,,,,,,,,,,,,
8933270100009421764f,45.3585144,0.0913792,88,2,1.86,54.61,1.75,44.4,0.14,0.72,-0.25,-0.24,0.05,35,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421798f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,31.4,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421749f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,35.7,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421715f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,32.7,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421723f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,44,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421731f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,36.6,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421707f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,35.5,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421699f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,34,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421681f,45.3585144,0.0913792,88,2,1.86,54.61,1.75,44.4,0.14,0.72,-0.25,-0.24,0.05,34.4,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421772f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,36.9,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421756f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,40.5,178,5.5,5.5,,,,,,,,,,,,,,,,,,
8933270100009421780f,45.3585144,0.0913792,88,2,1.99,54.61,1.87,44.4,0.14,0.72,-0.25,-0.24,0.05,34.4,178,5.5,5.5,,,,,,,,,,,,,,,,,,
